,name_set,part_num,name,freq
96118,Harbor Sentry,61856p40,Minifig Shield - Octagonal with Troll Skull on Dark Red Print,1
96119,Harbor Sentry,6222,Brick Round 4 x 4 with 4 Side Pin Holes and Center Axle Hole,1
96120,Harbor Sentry,62408,Minifig Breastplate with Shoulders - Troll Warrior (Orc),1
96121,Harbor Sentry,62436pat0003,Dragon Leg (Fantasy Era) Right with Black Claws and Metallic Gold Hip Pattern,1
96122,Harbor Sentry,62438pat0003,Dragon Leg (Fantasy Era) Left with Black Claws and Metallic Gold Hip Pattern,1
96123,Harbor Sentry,62808,Minifig Key,1
96127,Harbor Sentry,71155,Net 10 x 10 Square,1
96133,Harbor Sentry,973pr1321c01,"Torso Castle Fantasy Era Scale Mail, Crown on Buckle, Chest Strap Print / Dark Blue Arms / Yellow Hands",1
96134,Harbor Sentry,973pr1349c01,Torso Castle Fantasy Era Armor with Troll Skull Badge and Chains Print / Sand Green Arms / Sand Green Hands,1
96135,Harbor Sentry,973pr1352c01,Torso Castle Fantasy Era Armor with Brown Belts and Troll Symbol Buckle Print / Sand Green Arms / Sand Green Hands,1
96136,Harbor Sentry,sailbb41,Cloth Sail 14 x 20 Tattered with Fantasy Era Troll Skull Print (7048),1
96305,Package Pick-Up,46281,Clikits Icon - Large Daisy 10 Petals with Pin [Polished],1
96306,Package Pick-Up,47912,Clikits - Child's Bracelet With Hole,1
101408,Captain Redbeard's Pirate Ship,87556pr0004,Minifig Helmet with TIE Pilot Print,1
101409,Captain Redbeard's Pirate Ship,970c00pr0583,Legs and Hips with SW Imperial Gunner Print,1
101410,Captain Redbeard's Pirate Ship,973pr2293c01,Torso TIE Pilot Flight Suit with Back Print / Black Arms / Black Hands,1
